"filename", "language", "TypeScript", "JSON with Comments", "JavaScript", "TypeScript JSX", "JSON", "PostCSS", "Markdown", "XML", "HTML", "Docker", "comment", "blank", "total"
"c:\Users\berni\Projects\DivorceSite\frontend\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 6, 16
"c:\Users\berni\Projects\DivorceSite\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 14, 74
"c:\Users\berni\Projects\DivorceSite\frontend\eslint.config.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\berni\Projects\DivorceSite\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 164, 0, 12, 11, 187
"c:\Users\berni\Projects\DivorceSite\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 4660, 0, 0, 0, 0, 0, 0, 1, 4661
"c:\Users\berni\Projects\DivorceSite\frontend\package.json", "JSON", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 1, 39
"c:\Users\berni\Projects\DivorceSite\frontend\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\berni\Projects\DivorceSite\frontend\public\apple-touch-icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\berni\Projects\DivorceSite\frontend\public\icon-192.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\berni\Projects\DivorceSite\frontend\public\icon-512.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\berni\Projects\DivorceSite\frontend\public\sitemap.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 1, 52
"c:\Users\berni\Projects\DivorceSite\frontend\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\berni\Projects\DivorceSite\frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 172, 0, 0, 0, 0, 0, 0, 1, 6, 179
"c:\Users\berni\Projects\DivorceSite\frontend\src\components\AdUnit.tsx", "TypeScript JSX", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 4, 6, 78
"c:\Users\berni\Projects\DivorceSite\frontend\src\components\Footer.tsx", "TypeScript JSX", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 6, 77
"c:\Users\berni\Projects\DivorceSite\frontend\src\components\GuidedHeaderTour.tsx", "TypeScript JSX", 0, 0, 0, 280, 0, 0, 0, 0, 0, 0, 35, 33, 348
"c:\Users\berni\Projects\DivorceSite\frontend\src\components\GuidedModeToggle.tsx", "TypeScript JSX", 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 11, 9, 124
"c:\Users\berni\Projects\DivorceSite\frontend\src\components\GuidedTooltip.tsx", "TypeScript JSX", 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 29, 17, 165
"c:\Users\berni\Projects\DivorceSite\frontend\src\components\InfoTooltip.tsx", "TypeScript JSX", 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 3, 8, 96
"c:\Users\berni\Projects\DivorceSite\frontend\src\components\OfflineIndicator.tsx", "TypeScript JSX", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 6, 37
"c:\Users\berni\Projects\DivorceSite\frontend\src\components\SEO.tsx", "TypeScript JSX", 0, 0, 0, 147, 0, 0, 0, 0, 0, 0, 28, 19, 194
"c:\Users\berni\Projects\DivorceSite\frontend\src\components\ThemeToggle.tsx", "TypeScript JSX", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 1, 6, 51
"c:\Users\berni\Projects\DivorceSite\frontend\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 581, 0, 0, 0, 0, 61, 89, 731
"c:\Users\berni\Projects\DivorceSite\frontend\src\main.tsx", "TypeScript JSX", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 1, 3, 19
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\CalculationChoicePage.tsx", "TypeScript JSX", 0, 0, 0, 577, 0, 0, 0, 0, 0, 0, 29, 35, 641
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\DashboardPage.tsx", "TypeScript JSX", 0, 0, 0, 710, 0, 0, 0, 0, 0, 0, 32, 33, 775
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\DisclaimerPage.tsx", "TypeScript JSX", 0, 0, 0, 205, 0, 0, 0, 0, 0, 0, 10, 16, 231
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\ExportPage.tsx", "TypeScript JSX", 0, 0, 0, 177, 0, 0, 0, 0, 0, 0, 7, 16, 200
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\GlossaryPage.tsx", "TypeScript JSX", 0, 0, 0, 306, 0, 0, 0, 0, 0, 0, 9, 15, 330
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\GuidePage.tsx", "TypeScript JSX", 0, 0, 0, 341, 0, 0, 0, 0, 0, 0, 12, 15, 368
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\LandingPage.tsx", "TypeScript JSX", 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 11, 16, 191
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\LiquidationPage.tsx", "TypeScript JSX", 0, 0, 0, 306, 0, 0, 0, 0, 0, 0, 12, 26, 344
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\MethodologyPage.tsx", "TypeScript JSX", 0, 0, 0, 489, 0, 0, 0, 0, 0, 0, 18, 27, 534
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\PensionAlimentairePage.tsx", "TypeScript JSX", 0, 0, 0, 383, 0, 0, 0, 0, 0, 0, 18, 22, 423
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\PrestationCompensatoirePage.tsx", "TypeScript JSX", 0, 0, 0, 1141, 0, 0, 0, 0, 0, 0, 34, 57, 1232
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\PrivacyPage.tsx", "TypeScript JSX", 0, 0, 0, 198, 0, 0, 0, 0, 0, 0, 3, 17, 218
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\RecapitulatifPage.tsx", "TypeScript JSX", 0, 0, 0, 545, 0, 0, 0, 0, 0, 0, 31, 33, 609
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\ResteAVivrePage.tsx", "TypeScript JSX", 0, 0, 0, 319, 0, 0, 0, 0, 0, 0, 10, 24, 353
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\SimulationModePage.tsx", "TypeScript JSX", 0, 0, 0, 222, 0, 0, 0, 0, 0, 0, 9, 14, 245
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\TermsPage.tsx", "TypeScript JSX", 0, 0, 0, 200, 0, 0, 0, 0, 0, 0, 3, 16, 219
"c:\Users\berni\Projects\DivorceSite\frontend\src\services\divorceFormStore.ts", "TypeScript", 284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 41, 379
"c:\Users\berni\Projects\DivorceSite\frontend\src\services\guidedMode.tsx", "TypeScript JSX", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 9, 52
"c:\Users\berni\Projects\DivorceSite\frontend\src\services\legalEngine.ts", "TypeScript", 366, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 52, 517
"c:\Users\berni\Projects\DivorceSite\frontend\src\services\pdfGenerator.ts", "TypeScript", 970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 92, 1109
"c:\Users\berni\Projects\DivorceSite\frontend\tailwind.config.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9
"c:\Users\berni\Projects\DivorceSite\frontend\tsconfig.app.json", "JSON", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 2, 3, 29
"c:\Users\berni\Projects\DivorceSite\frontend\tsconfig.json", "JSON with Comments", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\berni\Projects\DivorceSite\frontend\tsconfig.node.json", "JSON", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 2, 3, 27
"c:\Users\berni\Projects\DivorceSite\frontend\vite.config.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"Total", "-", 1626, 7, 35, 7462, 4744, 581, 60, 69, 164, 10, 640, 834, 16232